"","2022.03.29","1","2","","","","","1","","","","",""
"Tree Fallen
නුවරඑලිය","","","","","","","","","","","","",""
"Kotmale","","1","4","","","","","1","","","","",""
"මධයම පලාත 
5","2022.03.30","","","","","","","","","","","",""
"Etnuypah","","","","","","","","","","","","",""
"High Wind
kj;jpa","","1","5","","","","","1","","","","",""
"Nuwara Eliya","","","","","","","","","","","","",""
"khfhzk; 
Walapane
Tree Fallen","2022.03.30","1","6","","","","","1","","","","",""
"Central","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","4","17","0","0","0","0","4","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4","17","0","0","0","0","4","0","0","0","0","0"
"මුළු එකතුව/ nkhj;jf; $l;ly;/GRAND TOTAL","","180","671","0","2","0","38","73","0","0","2","40","147"
"","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
