"","","","","බලපෑමට ලක්වු","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","ghjpf;fg;gl;l","","","tPLfs; Houses","","","","",""
"","Administrative purview","","","","","","","","Other Damages","","miktplk; Safe Location",""
"","","","","Affected","","","Damaged","","","","",""
"","","","","","තුවාලවු","","","","","","",""
"","","","ආරම්භක දිනය","","","අතුරුදහන්වූ","","","","","",""
"","","","","","පුද්ගලයින්","","","","","","",""
"","","","mdu;j;jk;","","","පුද්ගලයින්","","","","","",""
"","","ආපදාව","","","මිය යෑම් 
fhakil","","","කුඩා හා මධය","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","fhzhky;N","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","",""
"#","","mdHj;jk","Muk;gpj;j jpfjp","","kuzq;fs;
e;NjhH","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","ghNdhH","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ",""
"Province","","","","","Deaths","","පූර්ණ","ස්ත්‍
රථාන சிறிய,","","","","Remarks"
"දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","","Missing","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","","","","","Injured","","හානි","","","","",""
"மாவட்டம்","gpuNjr nra.gp","","commenced","FLk;gq;fs; 
egHfs;","","People","gFjpasT","நிறுவனங் களி","fl;likg;Gf;fs;","vz;zpf;if","FLk;gq;f","egHfs;"
"","","","","","People","","KOik","","","","",""
"","","","","Families
People","","","Partially","ன
்  சேதங் கள்","Damages to","No. of","s;","Persons"
"District","DS Division","","","","","","Fully","","","","",""
"","","","","","","","","Small, Medium,","critical","Safety","Families",""
"","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","Damages","","","",""
"කිලින ොච්චිය","","","","","","","","","","","",""
