"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Northen","4","17","0","0","0","0","0","0","0","1","7","27"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","4","17","0","0","0","0","0","0","0","1","7","27"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","49169","162868","0","0","0","8","105","2","0","29","877","2764"
"","","","ආපදො කළ නොකරණ  ධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Commander R.G.T.S.Karunarathne","","","","","","","","",""
"","","","Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
