"Rathnapura","","","","","","","","","","","","","","","","","",""
"","Tree Fallen","2024.07.17","88","359","","","","","","87","","","","","","","",""
"Godakawela","Tree Fallen","2024.07.15/17","4","16","","","","","","3","","","","","","","",""
"Kahawatta","Tree Fallen","2024.07.17","3","10","","","","","","3","","","","","","","",""
"Opanayaka","Tree Fallen","2024.07.17","4","22","","","","","","4","","","","","","","",""
"Balangoda","Tree Fallen","2024.07.17","2","10","","","","","","2","","","","","","","",""
"රත් පුර","","","","","","","","","","","","","","","","","",""
"1
,uj;jpdGhp  
Nivithigala","Tree Fallen","2024.07.16/17","3","11","","","","","","3","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","","","",""
"Kiriella","Tree Fallen","2024.07.17","9","31","","","","","","9","","","","","","","",""
"සබරගමුව පලොත","","","","","","","","","","","","","","","","","",""
"rg;ufKt 
Ayagama","High wind","2024.07.16/17","11","50","","","","","","11","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"Ehaliyagoda","Tree Fallen","2024.07.17","2","7","","","","","","2","","","","","","","",""
"Palmadulla","Tree Fallen","2024.07.17","5","15","","","","","","5","","","","","","","",""
"Weligapola","Tree Fallen","2024.07.17","3","9","","","","","","3","","","","","","","",""
"Kolonna","Tree Fallen","2024.07.18","1","1","","","","","","1","","","","","","","",""
"Kalthota","High wind","2024.07.17","1","1","","","","","","1","","","","","","","",""
"Kuruvita","Tree Fallen","2024.07.17","42","142","","","","","","42","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","186","711","","0","0","0","0","184","","0","0","","2","","4","21"
"කෑගල්ල        
2
Aranayaka","Tree Fallen","2024.07.17","1","1","","","","","","1","","","","","","","",""
"Nffhiy","","","","","","","","","","","","","","","","","",""
"Kegalle
Warakapola","Tree Fallen","2024.07.17","1","2","","","","","","1","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","3","","0","0","0","0","2","","0","0","","0","","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","188","714","","0","0","0","0","186","","0","0","","2","","4","21"
"කිලින ොච්චිය","","","","","","","","","","","","","","","","","","Drinking water is being"
"3
Karachchi
fpspnehr;rp","Drought","2024.06.24","239","732","","","","","","","","","","","","","","distributed for drought"
"","","","","","","","","","","","","","","","","","","areas"
"Killinochchi","","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","239","732","","0","0","0","0","0","","0","0","","0","","0","0"
"උතුරු පලොත","","","","","","","","","","","","","","","","","",""
"tl khfhzk; 
යොප ය","","","","","","","","","","","","","","","","","",""
"Northen
4
Chankanai
aho;g;ghzk  ;","Drought","2024.06.25","8118","25506","","","","","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8118","25506","","0","0","0","0","0","","0","0","","0","","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","8357","26238","","0","0","0","0","0","","0","0","","0","","0","0"
"Padukka","High wind","2024.07.17","2","7","","","","","","2","","","","","","","",""
"නකොළඹ","","","","","","","","","","","","","","","","","",""
"5
J'Kotte","High wind","2024.07.17","3","13","","","","","","3","","","","","","","",""
"nfhOk;G Colombo","","","","","","","","","","","","","","","","","",""
"Maharagama","High wind","2024.07.16/17","2","9","","","","","","2","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","7","7","","0","0","0","0","2","","0","0","","0","","0","0"
