"","","Tree fallen","2022.09.07","1
2","","","","1","","","","",""
"","Dehiowita","","","","","","","","","","","",""
"","","Flood/ Heavy Rain","2022.09.05","230
831","","","","230","","","","",""
"","","Flood/ Cutting Failure","2022.09.05","232
907","","","","232","3","","","",""
"","Ruwanwella","Heavy Rain","2022.09.07","2
7","","","","2","","","","",""
"","කෑගල්ල","","","","","","","","","","","",""
"","","Tree Falean","2022.09.07","1
3","","","","1","","","","",""
"1","Nffhiy","","","","","","","","","","","",""
"","","Flood/ Cutting Failure","2022.09.05","30
112","","","","11","","","","",""
"","Kegalle","","","","","","","","","","","",""
"","Yatiyantota","","","","","","","","","","","",""
"","","High Wind","2022.09.07","1
3","","","","1","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","",""
"","","","2022.09.05","12
53","","","","12","","","","",""
"rg;ufKt","Mawanella","Cutting Failure","","","","","","","","","","",""
"","","","2022.09.08","2
10","","","","2","","","","",""
"Sabaragamuwa","","","","","","","","","","","","",""
"","Warakapola","Flood/ Cutting Failure","2022.09.05","13
56","","","","14","2","","","",""
"","Rambukkana","Flood/ Cutting Failure","2022.09.05","23
90","","2","","1
9","1","","","",""
"","Galigamuwa","Flood/ Tree Falean","2022.09.05","8
25","","","","8","","","","",""
"","Aranayaka","Cutting Failure","2022.09.05","9
36","","","","8","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","595
2251","0","2","0","2
549","6","0","0
0","0",""
"","Kalawana","Heavy Rain/ Landslide","2022.09.05","110
405","","","","10","","","","",""
"","රත්නපුර ,uj;jpdGhp","","","","","","","","","","","",""
"2","","risk/ Flood/ Cutting","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","",""
"","Kuruwita","Failure","2022.09.05","25
98","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","135
503","0","0","0","0
10","0","0","0
0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","730
2754","0","2","0","2
559","6","0","0
0","0",""
"","Polgahawela","Flood","2022.09.05","9
30","","","","","","","","",""
"","Bamunakotuwa","Flood","2022.09.05","2
7","","","","","","","","",""
"","Weerambugedara","Flood","2022.09.05","8
35","","","","","","","","",""
"","Pannala","Flood","2022.09.05","73
266","","","","","","","","",""
"","Alawuwa","Flood","2022.09.05","8
35","","","","","","","","",""
"","Mawathagama","Flood","2022.09.06","1
6","","","","1","","","","",""
"","කුරුනෑගල","","","","","","","","","","","",""
"3","FUdhfy;  
Mallawapitiya","Flood","2022.09.05","4
23","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","",""
"","Narammala","Flood","2022.09.05","67
250","","","","","","","","",""
"වයඹ පලාත","Maaspotha","Flood","2022.09.05","7
24","","","","","","","","",""
"tlNky;","","","","","","","","","","","","",""
"","Ibbagamuwa","Flood/ High Wind","2022.09.05","12
50","","","","1","","","","",""
"khfhzk; North","","","","","","","","","","","","",""
"","Rideegama","Cutting Failure/ Flood","2022.09.05","3
11","","","","","","","","",""
"Western","","","","","","","","","","","","",""
"","Waariyapola","Flood","2022.09.06","2
8","","","","","","","","",""
"","Kurunegala","Heavy Rain","2022.09.05","1
6","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","197
751","0","0","0","0
2","0","0","0
0","0",""
"","පුත්තලම      
Dankotuwa","Flood","2022.09.06","2
7","","","","","","","1
4","13",""
"4","","","","","","","","","","","","",""
"","Gj;jsk;  Puttalam","","","","","","","","","","","",""
"","Mundalama","Fire","2022.09.06","1
4","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3
11","0","0","0","1
0","0","0","1
4","13",""
