"","","","","","Page 2","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","","","",""
"7
Mahawewa
High wind
Gj;jsk; 
වයඹ පලාත","2021.02.23","2","8","","","","","","2","","","","",""
"Puttalam
tlNky;khfh","","","","","","","","","","","","","",""
"zk;   North","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","8","0","","0","0","0","2","0","0","0","0","0"
"Western","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","8","0","","0","0","0","2","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","120","461","1","","1","5","0","109","1","0","2","4","19"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
