"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","252
946","0","0","0","0","29","0","0","6
110","353"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","252
946","0","0","0","0","29","0","0","6
110","353"
"","මාතර","","","","","","","","","","","",""
"","","","2023.09.28 to","","","","","","","","","",""
"","khj;jiw   
2
Devinuwara","Flood / Heavy Rain","","","","","","","","","","1
4","21 Hiththetiya Temple"
"දකුනු පලාත","","","2023.11.03","","","","","","","","","",""
"","Matara","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","0
0","0","0","0","0","0","0","0","1
4","21"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","0
0","0","0","0","0","0","0","0","1
4","21"
"","Kolonna","Landslide Risk","2023.11.02","34
139","","","","","","","","",""
"","රත්නපුර","","","","","","","","","","","",""
"","","Heavy Rain","2023.11.01","3
10","","","","","3","","","",""
"","3
Rathnapura
,uj;jpdGhp","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","",""
"","","Rock Fallen","2023.11.01","1
4","","","","","1","","","",""
"","Rathnapura","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"Sabaragamuwa","Kalawana","Lightning","2023.11.02","1
3","","","","","1","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","39
156","0","0","0","0","5","0","0","0
0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","39
156","0","0","0","0","5","0","0","0
0","0"
"","Alawwa","Lightning","2023.10.30","1
5","","","","","1","","","",""
"","කුරුනෑගල","","","","","","","","","","","",""
"","4
FUdhfy; 
Panduwasnuwara West","Heavy Rain / Wind","2023.11.01","3
10","","","","","3","","","",""
"වයඹ පලාත","","","","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","",""
"tlNky; khfhzk;","Ibbagamuwa","Heavy Rain","2023.11.02","1
4","","","","","1","","","",""
"North Western","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5
19","0","0","0","0","5","0","0","0
0","0"
