"","","","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","","","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","","",""
"","","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","tPLfs; Houses","","Other Damages","","","miktplk; Safe Location","","","",""
"","","","","","","","","","තුවාලවු","අතුරුදහ","","Damaged","","","","","","","","",""
"","","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","","","",""
"","","","","","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","","","","","","","","",""
"","","","","ආපදාව","","","","","","","","","","කුඩා හා මධය","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","","","kuzq;f","fhakil","fhzhky;","","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","","","","",""
"","#","","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","පරිමාණ වයාපාරික","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","","","s;","e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","","පවුේ","","",""
"Province","","","","","","","","","","","පූර්ණ","","","ස්ත්‍
රථාන சிறிய,","","","","","","","Remarks"
"","","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්",""
"","","","","","","","","","","","හානි","","","","","","","","","",""
"","","மாவட்டம்","gpuNjr nra.gp     DS","","commenced","FLk;gq;fs;","egHfs;","","Injured","Missing","","","gFjpasT","நிறுவனங் களி","fl;likg;Gf;fs;","vz;zpf;i","","FLk;gq;f","","egHfs;",""
"","","","","","","","","","People","People","KOik","","","ன
்  சேதங் கள்","","","","","","",""
"","","","","","","Families","People","","","","","","Partially","","Damages to","f   No.","","s;","","Persons",""
"","","District","Division","","","","","","","","Fully","","","Small, Medium,","","","","","","",""
"","","","","","","","","","","","","","","","critical","of Safety","","Families","","",""
"","","","","","","","","","","","","","","Enterprises","Infrastructure","Locations","","","","",""
"","","","","","","","","","","","","","","Damages","","","","","","",""
"","","","Naula","","2024.11.25","2","7","","","","","1","","","","","","","","",""
"","","","Galewela","","2024.11.26","1","4","","","","","","1","","","","","","","",""
"","","මාතලේ","","","","","","","","","","","","","","","","","","",""
"","","","Yatawatta","","2024.11.26","1","3","","","","","","1","","","","","","","",""
"","1","khj;jis","","Heavy Rain","","","","","","","","","","","","","","","","",""
"","","","Ambanganga Korale","","2024.11.26","2","9","","","","","","2","","","","","","","",""
"","","Matale","","","","","","","","","","","","","","","","","","",""
"","","","Wilgamuwa","","2024.11.26","6","18","","2","","","1","5","","","","","","","",""
"","","","Laggala","","2024.11.26","1","4","","","","","1","1","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","13","45","0","2","0","","3","10","0","0","","0","","0","0",""
"","","","Poojapitiya","","","21","87","","","","","1","16","","","","1","","5","26",""
"","","","Udunuwara","","","8","35","","","","","","8","","","","","","","",""
"","","","Akurana","","","18","87","","","","","","18","","","","","","","",""
"","","","Doluwa","","","6","25","","","","","1","4","","","","","","","",""
"","","","Delthota","","","7","33","","","","","","6","","","","","","","",""
"","","","Pathadumbara","","","10","36","","","","","1","9","","","","2","","3","14",""
"මධ්‍යම පලාත","","","Harispaththuwa","","","10","49","","","","","","5","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","","","","","",""
"","","","Minipe","","","10","39","","","","","","4","","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","","","",""
"","","නුවර","","Cutting Faliure / Heavy","","","","","","","","","","","","","","","","",""
"","","","Hatharaliyadda","","2024.11.25 / 26","4","15","","","","","","4","","","","","","","",""
"","2","fz;b","","Rain /High wind/ Tree","","","","","","","","","","","","","","","","",""
"","","","Pathahewaheta","","/27","15","58","","","","","","12","","","","1","","3","13",""
"","","Kandy","","Fallen","","","","","","","","","","","","","","","","",""
"","","","Panvila","","","24","119","","","","","","8","","","","","","","",""
"","","","Thumpane","","","20","88","","","","","4","16","","","","","","","",""
"","","","Gangawata Korale","","","21","92","","","","","","21","","","","","","","",""
"","","","Pasbage Korale","","","4","17","","","","","","2","","","","","","","",""
"","","","Ganga Ihala Korale","","","7","28","","","","","","5","","","","","","","",""
"","","","Kundasale","","","12","55","","","","","1","11","","","","","","","",""
"","","","Udapalatha","","","4","16","","","","","","4","","","","","","","",""
"","","","Ududumbara","","","1","2","","","","","","1","","","","","","","",""
