"","","","Cutting Failure","2022.09.05","4","19","","","","1","3","","","","","","","","",""
"","","Bulathkohupitiya","","","","","","","","","","","","","","","","","",""
"","","","Landslide risk","2022.09.05","10","41","","","","","","","","","","","","","",""
"","","Daraniyagala","Cutting Failure","2022.09.05","5","17","","","","","5","","","","","","","","",""
"","","Dehiowita","Flood/ Heavy Rain","2022.09.05","230","831","","","","","230","","","","","","","","",""
"","කෑගල්ල","Ruwanwella","Flood/ Cutting Failure","2022.09.05","232","907","","","","","232","","3","","","","","","",""
"","Nffhiy   
1","Yatiyantota","Flood/ Cutting Failure","2022.09.05","30","112","","","","","11","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","","","",""
"","","Mawanella","Cutting Failure","2022.09.05","12","53","","","","","12","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","Flood/ Cutting Failure","","","","","","","","","","","","","","","","",""
"","","Warakapola","","2022.09.05","13","56","","","","","14","","2","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","",""
"","","Rambukkana","Flood/ Cutting Failure","2022.09.05","23","90","","2","","1","9","","1","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","","","",""
"","","Galigamuwa","Flood/ Tree Falean","2022.09.05","8","25","","","","","8","","","","","","","","",""
"","","Aranayaka","Cutting Failure","2022.09.05","9","36","","","","","8","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","588","2226","0","2","0","2","542","","6","","0","0","","0","0",""
"","","Kalawana","Heavy Rain/ Landslide","2022.09.05","110","405","","","","","10","","","","","","","","",""
"","රත්නපුර ,uj;jpdGhp","","","","","","","","","","","","","","","","","","",""
"","2","","risk/ Flood/ Cutting","","","","","","","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","","","","",""
"","","Kuruwita","Failure","2022.09.05","25","98","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","135","503","0","0","0","0","10","","0","","0","0","","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","723","2729","0","2","0","2","552","","6","","0","0","","0","0",""
"","","Polgahawela","Flood","2022.09.05","9","30","","","","","","","","","","","","","",""
"","","Bamunakotuwa","Flood","2022.09.05","2","7","","","","","","","","","","","","","",""
"","","Weerambugedara","Flood","2022.09.05","8","35","","","","","","","","","","","","","",""
"","","Pannala","Flood","2022.09.05","73","266","","","","","","","","","","2","","13","46",""
"","","Alawuwa","Flood","2022.09.05","8","35","","","","","","","","","","3","","8","35",""
"","","Mawathagama","Flood","2022.09.06","1","6","","","","","1","","","","","","","","",""
"","කුරුනෑගල","","","","","","","","","","","","","","","","","","",""
"","3
FUdhfy;","Mallawapitiya","Flood","2022.09.05","4","23","","","","","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","","","","","","",""
"","","Narammala","Flood","2022.09.05","67","250","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","","","","",""
"","","Maaspotha","Flood","2022.09.05","7","24","","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","","","","",""
"khfhzk; North","","Ibbagamuwa","Flood/ High Wind","2022.09.05","12","50","","","","","1","","","","","","","","",""
"Western","","Rideegama","Cutting Failure/ Flood","2022.09.05","3","11","","","","","","","","","","","","","",""
"","","Waariyapola","Flood","2022.09.06","2","8","","","","","","","","","","","","","",""
"","","Kurunegala","Heavy Rain","2022.09.05","1","6","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","197","751","0","0","0","0","2","","0","","0","5","","21","81",""
"","පුත්තලම","","","","","","","","","","","","","","","","","","",""
"","4","Dankotuwa","Flood","2022.09.06","2","7","","","","","","","","","","1","","2","7",""
"","Gj;jsk;  Puttalam","","","","","","","","","","","","","","","","","","",""
