"","","","","திகதி :","2024-08-23"
"","முன் னறிவித்தை்","","","",""
"","","வவப்பநிலை (0C)","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","33","24","90","65","பிரதானமாக சீரான வானிலை"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மலை அை்ைது இடியுடன்  கூடிய"
"மட்டக்களப்பு","32","26","90","65",""
"","","","","","மலை பபய் யும்  சாத்தியம்"
"வகாழும் பு","31","24","95","85","அடிக்கடி மலை பபய் யும்"
"காலி","31","25","95","85","அடிக்கடி மலை பபய் யும்"
"யாழ் ப்பாணம்","31","27","90","75","பிரதானமாக சீரான வானிலை"
"கண் டி","31","21","95","65","அடிக்கடி மலை பபய் யும்"
"நுவவரலியா","22","16","95","70","அடிக்கடி மலை பபய் யும்"
"இரத்தினபுரி","34","23","95","80","அடிக்கடி மலை பபய் யும்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மலை அை்ைது இடியுடன்  கூடிய"
"திருககாணமலை","33","25","90","65",""
"","","","","","மலை பபய் யும்  சாத்தியம்"
"மன் னார்","31","26","90","70","பிரதானமாக சீரான வானிலை"
