"1
,uj;jpdGhp","Kalthota","2023.08.11","328","936","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Water"
"","","due to prevailing dry","","","","","","","","","","","","","",""
"Rathnapura","Kolonna","2023.08.14","516","1979","","","","","","","","","","","",""
"","","weather condition","","","","","","","","","","","","","",""
"","Balangoda","2023.08.14","1648","7113","","","","","","","","","","","",""
"","Embilipitiya","2023.08.16","4351","20616","","","","","","","","","","","",""
"ස්ත්‍බරෙමුව පලාත","Openayaka","203.08.19","1780","5869","","","","","","","","","","","",""
"rg;ufKt","Kalawana
High wind","2023.08.20","1","2","","","","","1","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","12335","49695","0","0","0","0","1","","0","","0","0","0","0"
"","","Drinking water","","","","","","","","","","","","","",""
"","Kegalle","2023.08.21","260","920","","","","","","","","","","","",""
"","","scarcity due to","","","","","","","","","","","","","",""
"","කෑෙල්ල/Nffhiy/K","","","","","","","","","","","","","","",""
"2","","prevailing dry weather","","","","","","","","","","","","","",""
"","Mawanelle
egalle","2023.08.22","908","3570","","","","","","","","","","","",""
"","condition","","","","","","","","","","","","","","",""
"","Ruwanwelle
Fire","2023.08.09","1","3","","","","1","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1169","4493","0","0","0","1","0","","0","","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","13504","54188","0","0","0","1","1","","0","","0","0","0","0"
"","Seruwila","Drinking water scarcity","1323","4452","","","","","","","","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","",""
"","Kuchchaveli","due to prevailing dry 
2023.08.01","987","3219","","","","","","","","","","","",""
"jp.kiy 
3","","","","","","","","","","","","","","","",""
"","","weather condition","","","","","","","","","","","","","",""
"","Gomarankadawela","","50","195","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","",""
"","Kanthale
High wind","2023.08.18","1","4","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","2361","7870","0","0","0","0","1","","0","","0","0","0","0"
"","Porativu Pattu","","1438","4341","","","","","","","","","","","",""
"","Eravur pattu","","2561","8805","","","","","","","","","","","",""
"මඩකලපුව","","Drinking water scarcity","","","","","","","","","","","","","",""
"","Koralaipattu","","2161","6856","","","","","","","","","","","",""
"4
kl;lf;fsg;G","","due to prevailing dry 
2023.08.11","","","","","","","","","","","","","",""
"","Manmunai south west","","853","2681","","","","","","","","","","","",""
"Batticaloa","","weather condition","","","","","","","","","","","","","",""
"","Manmunai west","","1729","6300","","","","","","","","","","","",""
"නැගෙනහිර පලාත","","","","","","","","","","","","","","","",""
"","Koralaipattu west","","150","525","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","",""
"Eastern Province","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","8892","29508","0","0","0","0","0","","0","","0","0","0","0"
"","Addalachanai","","987","3100","","","","","","","","","","","",""
"","Alayadiwembu","","1221","4000","","","","","","","","","","","",""
"අම්පාර","lahugala","Drinking water scarcity","169","606","","","","","","","","","","","",""
"mk;ghiw  
5","Mahaoya","due to prevailing dry 
2023.08.11","649","2192","","","","","","","","","","","",""
"Ampara","","weather condition","","","","","","","","","","","","","",""
"","Potuvul","","2639","8926","","","","","","","","","","","",""
"","Thirukkovil","","432","1408","","","","","","","","","","","",""
"","Padiyathalawa","","1642","5659","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","7739","25891","0","0","0","0","0","","0","","0","0","0","0"
