"","Weather  Forecast for Main Cities","","","",""
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","70","A few showers"
"Batticaloa","30","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","29","24","95","70","A few showers"
"Galle","29","23","95","75","A few showers"
"Jaffna","29","24","95","80","Showers at times"
"Kandy","26","19","95","80","A few showers"
"Nuwara-Eliya","16","13","95","70","A few showers"
"Ratnapura","27","23","95","85","A few showers"
"Trincomalee","30","24","90","70","Mainly fair"
"Mannar","29","26","95","75","Showers at times"
