"","1
Sri Jayawardhanapura
nfhOk;G","","2023.05.04","1","4","","","","","1","","","1","","","","",""
"","","Wind","","","","","","","","","","","","","","","",""
"","Colombo","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","1","4","0","0","0","0","1","","0","1","","0","0","0",""
"","Bandaragama","","","1","6","","","","","","","","","","","","",""
"","Walallawita
 ළුතර","","","1","4","","","","","","","","","","","","",""
"","","Heavy Rain & High","","","","","","","","","","","","","","","",""
"Western","2
fSj;Jiw        
Ingiriya","","2023.05.05","2","5","","","","","2","","","","","","","",""
"","","Wind","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","Kalutara","","","","","","","","","","","","","","","","",""
"","Kalutara","","","12","44","","","","","12","","","","","","","",""
"බස්ත්‍රනොහිර පලොත","","","","","","","","","","","","","","","","","",""
"","Millaniya","","","5","17","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","21","76","0","0","0","0","14","","0","0","","0","0","0",""
"","ගම්පහ","","","","","","","","","","","","","","","","",""
"","Negombo","Urban Flood / Flash","2023.05.04","1176","4887","","","","","","","","","","","","",""
"","3
fk;g`h","","","","","","","","","","","","","","","","",""
"","","Flood","","","","","","","","","","","","","","","",""
"","Katana
Gampaha","","2023.05.05","870","3630","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","2046","8517","0","0","0","0","0","","0","0","","0","0","0",""
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","2068","8597","0","0","0","0","15","","0","1","","0","0","0",""
"","Haldummulla","Landslide","2023.03.19","71","242","","6","","3","37","","","","","1","71","","242 Safety center at Mahakanda"
"","බදුල්ල","","","","","","","","","","","","","","","","","Tea Factory"
"","gJs;is   
4
Ridimaliyadda","High Wind","2023.05.02","1","4","","","","","1","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","","","",""
"Cth khfhzk;","Passara","Cutting Failure","2023.05.03","1","4","","","","","1","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","73","250","0","6","0","3","39","","0","0","","1","71","242",""
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","73","250","0","6","0","3","39","","0","0","","1","71","242",""
"","ත්‍රීකුණොමලය","","","","","","","","","","","","","","","","",""
"","5
Seruwila
jp.kiy","High Wind","2023.05.01","1","4","","","","","1","","","","","","","",""
"නැකගනහිර පලොත","","","","","","","","","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","",""
"Eastern","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","","","","","","","","","","","","","","",""
"","","","","1","4","0","0","0","0","1","","0","0","","0","0","0",""
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","1","4","0","0","0","0","1","","0","0","","0","0","0",""
"","","High Wind","2023.05.02","1","4","","","","","1","","","","","","","",""
"","රත්නපුර                  
Godakawela","","","","","","","","","","","","","","","","",""
"","6
,uj;jpdGhp","High Wind","2023.05.04","1","3","","","","","1","","","","","","","",""
"","Rathnapura","Heavy Rain & High","","","","","","","","","","","","","","","",""
"","Weligepola","","2023.05.04","1","3","","","","","1","","","","","","","",""
"","","Wind","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","3","10","0","0","0","0","3","","0","0","","0","0","0",""
"","Deraniyagala","Lightning","2023.05.01","2","9","","","","","2","","","","","","","",""
"","","Lightning","2023.05.02","1","4","","","","","1","","","","","","","",""
"","Warakapola","","","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලොත","","High Wind","2023.05.02","1","5","","","","","1","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","Aranayake","Tree Fallen","2023.05.03","1","4","","","","","1","","","","","","","",""
"Sabaragamuwa","ෑගල්ල","","","","","","","","","","","","","","","","",""
"","7
Nffhiy","Tree Fallen","2023.05.02","2","9","","","","","2","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.03","2","8","","","","","2","","","","","","","",""
"","","Tree Fallen","2023.05.02","1","4","","","","","1","","","","","","","",""
"","Dehiovita","","","","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.03","1","5","","","","","1","","","","","","","",""
"","Bulathkohupitiya","Tree Fallen","2023.05.02","1","2","","","","","1","","","","","","","",""
"","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","12","50","0","0","0","0","12","","0","0","","0","0","0",""
