"","","","","","","","","","","ky;Ngh","","","","","","","","","පවුේ",""
"Province","","","","Disaster","Date of","","","Deaths","","","පූර්ණ","","","ස්ත්‍
රථාන சிறிய,","","","","","","Remarks"
"","","","","","","පවුේ","","","","NdhH","","හානි","","","","වලට වූ හානි","","ස්ත්‍ංඛ්‍යාව","",""
"","","","ප්‍රා.ලේ. ලකා","","","","පුද්ගලයින්","","","","","","","நடுத்தர,","","","","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","","දිස්ත්‍රික්කය","","","commenced","","","","Injured","","හානි","gFjpa","","","","mbg;gilf;","","vz;zpf;i","",""
"","","","","","","ස්ත්‍ංඛ්‍යාව","","","","Missin","","","","நிறுவனங்களின்","","","","","",""
"","","","gpuNjr nra.gp","","","","egHfs;","","","","","","","","","","","","FLk;gq;","egHfs;"
"","","மாவட்டம் District","","","","FLk;gq;fs;","","","","","KOik","sT","","","","fl;likg;Gf;fs;","","f   No.","",""
"","","","DS Division","","","","People","","","g","","","","சேதங்கள்; Small,","","","","","fs;","Persons"
"","","","","","","Families","","","People","","Fully","Partiall","","","","Damages to","","of Safety","",""
"","","","","","","","","","","People","","","","Medium,","","","","","Families",""
"","","","","","","","","","","","","y","","","","critical","","Location","",""
"","","","","","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","","","","","","","Infrastructure","","s","",""
"","","","","","","","","","","","","","","Damages","","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","","","","","","",""
"","1","Nffhiy","Ruwanwella","Drought","2019.03.22","269","978","","","","","","","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","269","978","0","0","0","0","","0","","0","","0","0","0","0"
"සබරගමුව පලාත","","","","","","","","","","","","","","","","","","","",""
"rg;ufKt","","රත්නපුර","Balangoda","Landslide Risk","2019.03.18","13","58","","","","","","13","","","","","2","13","58"
"","2",",uj;jpdGhp","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","","","",""
"","","Rathnapura","Ratnapura","Drought","2019.04.02","60","250","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","73","308","0","0","0","0","","13","","0","","0","2","13","58"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","342","1286","0","0","0","0","","13","","0","","0","2","13","58"
"","","","Dankotuwa","","","13","52","","","","","","","","","","","","",""
"","","","Arachchikattuwa","","","1404","5059","","","","","","","","","","","","",""
"","","","Mundalama","","","2041","7404","","","","","","","","","","","","",""
"","","පුත්තලම","","","","","","","","","","","","","","","","","",""
"වයඹ පලාත","3","","","","2019.01.24","","","","","","","","","","","","","","",""
"","","Gj;jsk","Pallama","Drought","","1823","6173","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","","","","","","",""
"","","Puttalam","","","","","","","","","","","","","","","","","",""
"khfhzk;","","","Mahawewa","","","2164","8238","","","","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","","","","",""
"","","","Naththandiya","","","350","975","","","","","","","","","","","","",""
"","","","Nawagathhena","","","148","392","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","7943","28293","0","0","0","0","","0","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","7943","28293","0","0","0","0","","0","","0","","0","0","0","0"
"","","වව්නියාව","","","","","","","","","","","","","","","","","",""
"","4","tTdpah","Vavuniya North","Drought","2019.03.11","39","105","","","","","","","","","","","","",""
"","","Vavuniya","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","39","105","0","0","0","0","","0","","0","","0","0","0","0"
"","","","Delft","","2019.03.18","1031","3071","","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","","","","",""
"","","යාපනය","Velanai","","2019.03.21","2798","9642","","","","","","","","","","","","",""
"tl khfhzk ;","","","","","","","","","","","","","","","","","","","",""
"Northen","5","aho;g;ghzk;","Kayts","Drought","","2422","7848","","","","","","","","","","","","",""
"","","Jaffna","Karainagar","","2019.03.18","2760","8297","","","","","","","","","","","","",""
"","","","Maruthankrny","","","1060","4630","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","10071","33488","0","0","0","0","","0","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","10110","33593","0","0","0","0","","0","","0","","0","0","0","0"
"","","මාතලල්","","","","","","","","","","","","","","","","","",""
"","","","Pallepola","","2019.03.11","36","110","","","","","","","","","","","","",""
"","6","khj;jis","","Drought","","","","","","","","","","","","","","","",""
"","","Matale","Rattota","","2019.03.28","5659","20246","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","5695","20356","0","0","0","0","","0","","0","","0","0","0","0"
"","","","Delthota","","2019.03.17","125","622","","","","","","","","","","","","",""
"","","","Akurana","","2019.02.10","120","430","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","","","",""
"","","නුවර","Pathahewahata","","2019.03.28","1105","2918","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","","","","",""
"","7","fz;b","","Drought","","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","","",""
"","","Kandy","Meda Dumbara","","2019.03.21","405","1630","","","","","","","","","","","","",""
"","","","Panwila","","2019.04.02","530","1600","","","","","","","","","","","","",""
"","","","Pujapitiya","","2019.04.01","850","4175","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","3135","11375","0","0","0","0","","0","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","8830","31731","0","0","0","0","","0","","0","","0","0","0","0"
