"","","","2023.06.01","","","","","","","","","","","","","",""
"","Kiriella","High Wind","","1","5","","","","","1","","","","","","",""
"","","High Wind","2023.06.06","1","3","","","","","1","","","","","","",""
"","","Flood","","4","17","","","","","3","","","","","","",""
"","Elapatha","Cutting Failure","2023.06.01","3","9","","","","","1","","","","","","",""
"","රත්නපුර ,uj;jpdGhp","","","","","","","","","","","","","","","",""
"1","","Heavy Rain& High","","","","","","","","","","","","","","",""
"","Rathnapura","","","2","6","","","","","1","","","","","","",""
"","","Wind","","","","","","","","","","","","","","",""
"","","Lightning & Heavy","","","","","","","","","","","","","","",""
"","Kuruwita","","2023.06.01","5","13","","","","","5","","","","","","",""
"සබරගමුව පලාත","","Rain","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"","","Cutting Failure /","2023.06.01","8","33","","","","","7","","","","","","",""
"Sabaragamuwa","Rathnapura","","","","","","","","","","","","","","","",""
"","","HighWind & Lightning","","","","","","","","","","","","","","",""
"","","","202306.03","2","8","","","","","2","","","","","","",""
"","Ayagama","Heavy Rain","2023.06.01","1","1","","","","","1","","","","","","",""
"","","High Wind","2023.06.05","1","2","","","","","1","","","","","","",""
"","Godakawela","","","","","","","","","","","","","","","",""
"","","High Wind","2023.06.06","1","4","","","","","1","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","49","169","0","0","0","0","44","","0","0","0","0","0",""
"කෑගල්ල","Ruwanwella","Tree Fallen","2023.06.03","1","6","","","","","1","","","","","","",""
"2","Nffhiy","","","","","","","","","","","","","","","",""
"Kegalle","Dehiowita","Cutting Faliure","2023.06.04","1","3","","","","","1","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","9","0","0","0","0","2","","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","51","178","0","0","0","0","46","","0","0","0","0","0",""
"","Palindanuwara","Land Slide/ High Wind 2023.06.04-05","","9","49","","","","","2","","","","","","",""
"","Horana","High Wind/ Lightning","2023.06.01-04","4","14","","","","","4","","","","","","",""
"","Walallawita","Lightning","2023.06.01-04","13","51","","","","","13","","","","","","",""
"","","Heavy Rain/ Flash","","","","","","","","","","","","","","",""
"කළුතර","Bulathsinhala","","2023.05.05","39","142","","","","","4","","35","","","","",""
"","","Flood","","","","","","","","","","","","","","",""
"3","fSj;Jiw","","","","","","","","","","","","","","","",""
"Western","Beruwala","High Wind","2023.06.04","1","4","","","","","1","","","","","","",""
"Kalutara","","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","",""
"","","Heavy Rain/ Flash","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","Mathugama","","2023.06.05","40","140","","","","","4","","","","","","",""
"","","Flood/Lightning","","","","","","","","","","","","","","",""
"","","Heavy Rain/ Flash","","","","","","","","","","","","","","",""
"","Agalawatta","Flood/Lightning/","2023.06.05","29","145","","","","","4","","","","","","",""
"","","Cutting failure","","","","","","","","","","","","","","",""
"","Millaniya","Lightning","2023.06.05","1","6","","","","","1","","","","","","",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","136","551","0","0","0","0","33","","35","0","0","0","0",""
