"","","","","","","","","Page 1","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","of commenced","","පුද්ගලයින්","","","Injured","Missing","","","நடுத்தர,","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","ස්ත්‍ංඛ්‍යාව","","","","","","හානි","gFjpas","நிறுவனங் களின்","","","","",""
"","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","","People","People","","","","fl;likg;Gf;fs;","","vz;zpf;if","egHfs; 
FLk;gq;f",""
"","","","","","FLk;gq;fs;","","","","","","KOik","T","சேதங் கள்","","","","",""
"","District","Division","","","","People","","","","","","","","Damages to","","No. of","s; 
Persons",""
"","","","","","Families","","","","","","Fully","Partially","Small, Medium,","","","","",""
"","","","","","","","","","","","","","","critical","","Safety","Families",""
"","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","","Damages","","","","",""
"","යාපනය","Kopay","(Burevi) Cyclone","2020.12.02","","","","","","","","","","","","1","1","6"
"","1
aho;g;ghzk;","Thellipalai","","","47","168","","","","","","","","","","","",""
"","","","Flood","2020.12.15","","","","","","","","","","","","","",""
"","Jaffna","Sandilippai","","","15","62","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","62","230","","0","0","0","0","0","0","","0","1","1","6"
"උතුරු පලාත","","Karachchi","","","720","2213","","","","","","40","","","6","","",""
"tl khfhzk","කිලිවනාච්චිය","Kandawalai","","","249","676","","","","","","8","","","","","",""
"Northen","2
fpspnehr;rp","","(Burevi) Cyclone","2020.12.02","","","","","","","","","","","","","",""
"","Killinochchi","Poonakary","","","854","2228","","","","","4","198","","","","","",""
"","","Pachchilaipallal","","","299","983","","","","","","34","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","2122","6100","","0","0","0","4","280","0","","6","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","2184","6330","","0","0","0","4","280","0","","6","1","1","6"
"","","Paathhewaheta","","2020.12.09","1","1","","","","","","1","","","","","",""
"","","Delthota","","2020.12.10","2","3","","","","","","2","","","","","",""
"","මහනුෙර","Udunuwara","","2020.12.07","1","4","","","","","","1","","","","","",""
"","3
fz;b","","High Wind","","","","","","","","","","","","","","",""
"මධයම පලාත","","Meda dumbara","","2020.12.08","2","8","","","","","","1","1","","","","",""
"","Kandy","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","","",""
"Central","","Yatinuwara","","2020.12.05","3","12","","","","","","3","","","","","",""
"","","Ganga Ihala Korale","","2020.12.12","1","3","","","","","","1","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","10","31","","0","0","0","0","9","1","","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","10","31","","0","0","0","0","9","1","","0","0","0","0"
"","","","Elephant attack","","2","6","","1","1","","","1","","","","","",""
"","හම්බනවතාට","Sooriyawewa","","","","","","","","","","","","","","","",""
"","4
`k;ghe;Njhl;l","","Heavy rain","2020.12.16","1","1","","","","","1","","","","","","",""
"දකුනු පලාත njd;","","","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","","","",""
"khfhzk","","Hambanthota","Drawning","","1","1","","1","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","4","8","","2","1","0","1","1","0","","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","4","8","","2","1","0","1","1","0","","0","0","0","0"
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","",""
"","","Kanthale","Airplane crash","2020.12.15","","1","","1","","","","","","","","","",""
"","5
jp.kiy","","","","","","","","","","","","","","","","",""
"නැවගනහිර පලාත","","Town & Grevets","High Wind","2020.12.02","5","21","","","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","5","22","","1","0","0","0","0","0","","0","0","0","0"
"Eastern","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","5","22","","1","0","0","0","0","0","","0","0","0","0"
"","කෑගල්ල","Kegalle","Tree Falean","2020.12.17","1","2","","","","","","1","","","","","",""
"","6
Nffhiy","","","","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","Yatiyanthota","High Wind","2020.12.03","1","5","","","","","","1","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","2","7","","0","0","0","0","2","0","","0","0","0","0"
