"","","","","Date :","30-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","50","Mainly fair"
"Batticaloa","36","26","75","45","Mainly fair"
"Colombo","31","27","90","70","Several spells of showers"
"Galle","30","27","90","75","Several spells of showers"
"Jaffna","32","27","85","75","Mainly fair"
"Kandy","30","22","90","65","Several spells of light showers"
"Nuwara-Eliya","19","14","90","75","Several spells of light showers"
"Ratnapura","33","24","90","65","Several spells of showers"
"Trincomalee","36","26","85","45","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
