"","","","","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","","","High Wind /","","","","","","","","","","","","",""
"","","","Ruwanwella","","2019.11.24","1","4","","","","","1","","","","",""
"","","","","Lightning","","","","","","","","","","","","",""
"","","","","Lightning","2019.11.26","1","6","","","","","1","","","","",""
"","","කෑගල්ල Nffhiy","Yatiyanthota","","","","","","","","","","","","","",""
"","6","","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","Kegalle","","Heavy Rain","","1","5","","","","","1","","","","",""
"","","","","","2019.11.25","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"","","","Dehiovita","","","1","4","","","","","","","","","",""
"Sabaragamuwa","","","","Cutting Failure","","","","","","","","","","","","",""
"","","","Mawanella","","2019.11.28","1","8","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","5","27","0","0","0","0","4","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","5","27","0","0","0","0","4","0","0","0","0","0"
"","","","Gangawata Korale","","2019.11.23","2","9","","","","","2","","","","",""
"","","","","High Wind","","","","","","","","","","","","",""
"","","","Pathadumbara","","2019.11.26","1","2","","","","","1","","","","",""
"","","නුවර","","","","","","","","","","","","","","",""
"","7","fz;b","Udapalatha","","","1","5","","","","","1","","","","",""
"","","","","","2019.11.26","","","","","","","","","","","",""
"","","Kandy","","High Wind","","","","","","","","","","","","",""
"","","","Ududumbara","","","1","4","","","","","1","","","","",""
"","","","Udunuwara","","2019.11.28","2","7","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","7","27","0","0","0","0","7","0","0","0","0","0"
"","","","","Flood","","19","80","","","","","","","","","",""
"","","","Nuwara Eliya","","","","","","","","","","","","","",""
"","","","","Land Slide","","2","12","","","","","1","","","1","2","12 Kotlodge Tamil School"
"","","","","Land Slide Risk","","14","40","","","","","","","","1","14","40 Mungwaththa Temple"
"","","","Walapane","","","","","","","","","","","","","",""
"මධයම පලාත","","","","Land Slide","","1","4","3","","1","1","","","","","",""
"","","නුවරඑලිය","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","8","Etnuypah","","","2019.11.30","","","","","","","","","","","",""
"","","","","Heavy Rain","","1","2","","","","","1","","","","",""
"Central","","Nuwara Eliya","","","","","","","","","","","","","","",""
"","","","Kotmale","Land Slide Risk","","2","9","","","","","","","","","",""
"","","","","Rock Fallen","","1","7","","","","","","","","","",""
"","","","","Cutting Failure","","1","4","","","","","1","","","","",""
"","","","Hankuranketha","","","","","","","","","","","","","",""
"","","","","Heavy Rain","","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","42","162","3","0","1","1","4","0","0","2","16","52"
"","","","Naula","Elephant Attack","2019.11.30","","","1","","","","","","","","",""
"","","මාතගල් khj;jis","","","","","","","","","","","","","","",""
"","9","","","","","","","","","","","","","","","",""
"","","Matale","Raththota","Heavy Rain","2019.12.01","16","62","","","","","","","","1","16","62 Pitakandara Tamil"
"","","","","","","","","","","","","","","","","","School"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","16","62","1","0","0","0","0","0","0","1","16","62"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","65","251","4","0","1","1","11","0","0","3","32","114"
"","","ගපාගලාන්නරුව","","","","","","","","","","","","","","",""
"උතුරුමැද","","","","","","","","","","","","","","","","",""
"","10","nghyd;dWit","Dimbulagala","Elephant Attack","2019.11.30","","","1","","","","","","","","",""
"පලාත/tlkj;jpa","","","","","","","","","","","","","","","","",""
"","","Polonnaruwa","","","","","","","","","","","","","","",""
"khfhzk;/ North","","","","","","","","","","","","","","","","",""
