"","Weather Forecast for Main Cities","","","","19-Jun-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","65","Several spells of light showers"
"Batticaloa","33","26","90","65","A few showers"
"Colombo","30","27","90","75","Several spells of showers"
"Galle","30","26","90","80","Several spells of showers"
"Jaffna","27","24","95","70","Several spells of showers"
"Kandy","27","23","90","65","Several spells of light showers"
"Nuwara-Eliya","18","13","95","75","Several spells of showers"
"Ratnapura","30","23","95","70","Several spells of showers"
"Trincomalee","30","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","30","26","90","75","Several spells of showers"
