"","Weather Forecast for Main Cities","","","Date :","7-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","50","Mainly fair"
"Batticaloa","37","27","85","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","85","70","Several spells of showers"
"Galle","30","25","90","85","Several spells of showers"
"Jaffna","34","24","85","65","Mainly fair"
"Kandy","29","24","85","65","Several spells of light showers"
"Nuwara-Eliya","20","14","90","75","Several spells of light showers"
"Ratnapura","34","26","90","60","Several spells of showers"
"Trincomalee","36","27","85","50","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
