"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","131","375","0","0","0","0","130","0","0","1","16","65"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","131","375","0","0","0","0","130","0","0","1","16","65"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","292","950","0","0","0","0","285","2","0","1","16","65"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","……………………………………………………….","","","","","","","","",""
"","","","K.G.Mahendra Jagath","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
