"1","4","1","","","","",""
"2","9","0
0
0
1
0","1","0","0","0","0"
"2","9","0
0
0
1
0","1","0","0","0","0"
"55231","231451","0
0
0
10
1","1","0","3","15","75"
"","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","",""
"","","","ආපදා කළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","………………………………………………………."
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","S. Hapuarachchi"
"","","වවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","Assistant CoordinatorDuty Officer"
"","","","","","","","For Director General"
