"","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","of commenced","","පුද්ගලයින්","","Injured","Missing","","","நடுத்தர,","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","","","","","","","","",""
"","மாவட்டம்  
gpuNjr nra.gp     DS","","","egHfs;","","People","","","","நிறுவனங் களின்","","fl;likg;Gf;fs;","","vz;zpf;if","","FLk;gq;f","egHfs;",""
"","","","","","","","People","","T","","","","","","","","",""
"","","","FLk;gq;fs;","","","","","KOik","","சேதங் கள்","","","","","","","",""
"","District
Division","","","People","","","","","","","","Damages to","","No. of","","s;","Persons",""
"","","","Families","","","","","Fully","Partially","Small, Medium,","","","","","","","",""
"","","","","","","","","","","","","critical","","Safety","","Families","",""
"","","","","","","","","","","Enterprises","","","","","","","",""
"","","","","","","","","","","","","Infrastructure","","Locations","","","",""
"","","","","","","","","","","Damages","","","","","","","",""
"","යාපනය","","","","","","","","","","","","","","","","",""
"","1
Kareinagar
Flood
aho;g;ghzk;","2021.01.11","158","560","","","","","","","","","","","1","","14","41 J/48 Gramaniladhari Office"
"","Jaffna","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","158","560","0","0","0","0","0","","0","","0","","1","","14","41"
"","මන්නාරම","","","","","","","","","","","","","","","","",""
"","2
Manthai West
Flood
kd;dhH","2021.01.11/12","83","323","","","","","","","","","","","1","","8","30 Public building"
"උතුරු පලාත","","","","","","","","","","","","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","83","323","0","0","0","0","0","","0","","0","","1","","8","30"
"","මුලතිව්","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Kalampawewa Welfare"
"","3
Welioya
Flood
Ky;iyj;jPT","2021.01.12","55","152","","","","","","","1","","","","1","","20","43"
"","","","","","","","","","","","","","","","","","","Centre"
"","Mulaitivu","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","55","152","0","0","0","0","0","","1","","0","","1","","20","43"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","296","1035","0","0","0","0","0","","1","","0","","3","","42","114"
"","","","","","","","","","","","","","","","","","","Konkodia GN Wetherset"
"","නුවරඑලිය  
Nuwara Eliya
Land slide Risk","2020.12.21","3","14","","","","","","","","","","","1","","3","14"
"","4","","","","","","","","","","","","","","","","","Hospitle"
"","Etnuypah","","","","","","","","","","","","","","","","",""
"","Nuwara Eliya","","","","","","","","","","","","","","","","",""
"","Walapane
Gas Leak","2021.01.10","1","3","","3","","","1","","","","","","","","",""
"මධ්‍යම පලාත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","17","0","3","0","0","1","","0","","0","","1","","3","14"
"kj;jpa khfhzk","","","","","","","","","","","","","","","","","",""
"","මාතලේ","","","","","","","","","","","","","","","","",""
"Central","5
Rattota
High Wind","2021.01.25","2","6","","","","","2","","","","","","","","",""
"","khj;jis","","","","","","","","","","","","","","","","",""
"","Matale","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","6","0","0","0","0","2","","0","","0","","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4","17","0","3","0","0","1","","0","","0","","1","","3","14"
"","හම්බන්ලතාට","","","","","","","","","","","","","","","","",""
"","6
Sooriyawewa
Heavy Rain
`k;ghe;Njhl;il","2021.01.25","3","9","","","","","3","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","3","9","0","0","0","0","3","","0","","0","","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","3","9","0","0","0","0","3","","0","","0","","0","","0","0"
"","පුත්තලම","","","","","","","","","","","","","","","","",""
"වයඹ පලාත","7
Kalpitiya
High Wind
Gj;jsk;","2021.01.27","1","4","","","","","1","","","","","","","","",""
"tlNky;","Puttalam","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","4","0","0","0","0","1","","0","","0","","0","","0","0"
"North Western","","","","","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","4","0","0","0","0","1","","0","","0","","0","","0","0"
"","Lightning","","2","7","","","","","2","","","","","","","","",""
"","කෑගේල  
Warakapola
High Wind","2021.02.21","4","15","","","","","2","","","","","","","","",""
"","8
Nffhiy","","","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","","",""
"","Rock Fallen
Kegalle","","1","4","","","","","1","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","Bulathkohupitiya
Cutting Faliure","","1","3","","","","","1","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","8","29","0","0","0","0","6","","0","","0","","0","","0","0"
