"","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","tPLfs; Houses","","","Other Damages","","","","miktplk; Safe Location","",""
"","","","","","","","තුවාලවු","අතුරුදහ","","","","","","","","","","",""
"","","","","","","","","","","Damaged","","","","","","","","",""
"","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","","","",""
"","","","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","","කුඩා හා මධය","","","","","","",""
"","","ආපදාව","","","","","","","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","","","පරිමාණ වයාපාරික","","ඉතා වැදගත් යටිතල","","ආරක්ිත","","",""
"","#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","s;","e;NjhH","NghNdhH","","","","","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන","පවුේ","",""
"Province","","","","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","","","","","Remarks"
"","","Disaster
ප්‍රා.ලේ. ලකා","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","","අර්ධ හානි","நடுத்தர,","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","දිස්ත්‍රික්කය","","","","","","","","","හානි","","நிறுவனங்களின்","","","","","","",""
"","","","commenced","","","","Injured","Missing","","","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","","egHfs;",""
"","","gpuNjr nra.gp     DS","","FLk;gq;fs;","egHfs;","","","","","","","","","","","","FLk;gq;f","",""
"","மாவட்டம் District","","","","","","People","People","","KOik","","சேதங்கள்; Small,","","","","","","",""
"","","","","Families","People","","","","","","Partially","","","Damages to","","f   No.","s;","Persons",""
"","Division","","","","","","","","","Fully","","","","","","","","",""
"","","","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","","Damages","","","","","","",""
"","යාපනය","","","","","","","","","","","","","","","","","","1. Pokaddi ATM School   2."
"","","High Wind & Flash","2024.12.12 -","","","","","","","","","","","","","","","","Kalaivani Community Hall 3."
"","1
Chavakachcheri
aho;g;ghzk;","","","58","185","","","","","","3","","2","","","4","51","165",""
"උතුරු පලාත","","Flood","2024.12.17","","","","","","","","","","","","","","","","Pokaddi RCTMS School 4."
"","","","","","","","","","","","","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","","","","","","Thirunakeseru School"
"tl khfhzk;","","","","","","","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","58","185","0","0","","0","0","3","","2","","0","4","51","165",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","58","185","0","0","","0","0","3","","2","","0","4","51","165",""
"","රත්නපුර","","","","","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","2
Elapatha
,uj;jpdGhp","Heavy Rain","2024.12.18","1","3","","","","","","1","","","","","","","",""
"rg;ufKt","Rathnapura","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","1","3","0","0","","0","0","1","","0","","0","0","0","0",""
