"","Families","People","","","","","Partially","","சேதங்கள்; Small,","","Damages to","f   No.","s;","Persons"
"Division","","","","","","Fully","","","","","","","",""
"","","","","","","","","","Medium,","","critical","of Safety","Families",""
"","","","","","","","","","Enterprises","","Infrastructure","Locations","",""
"","","","","","","","","","Damages","","","","",""
"Nill
Nill
Nill","Nill
Nill","Nill","Nill","Nill","Nill","Nill","Nill","Nill","","Nill","","Nill","Nill","Nill"
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","Nill","Nill","Nill","Nill","Nill","Nill","Nill","Nill","","Nill","","Nill","Nill","Nill"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","Nill","Nill","Nill","Nill","Nill","Nill","Nill","Nill","","Nill","","Nill","Nill","Nill"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","Nill","Nill","Nill","Nill","Nill","Nill","Nill","Nill","","Nill","","Nill","Nill","Nill"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","","",""
"","","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
