"","","Nivithagala","","2024.06.01-03","83","288","","","","","","81","","11","","","","",""
"","","Ayagama","","2024.06.01-02","3942","15229","","2","","","12","554","","153","44","","1","2","9"
"","","Pelmadulla","","2024.06.01-02","121","473","","1","","","","112","","6","","","","",""
"","","Ehaliyagoda","","2024.06.01-02","2347","8451","","1","3","","2","1093","","175","1","","3","30","85"
"","","Rathnapura","","2024.06.01-02","3662","14409","","","1","","1","1130","","392","","","1","1","4"
"","","Kuruvita","","2024.06.01-02","1259","5185","","","","","4","222","","57","","","","",""
"","රත් පුර","","Heavy Rain/ High","","","","","","","","","","","","","","","",""
"","","Kalawana","","2024.06.01-02","586","2038","","","","","","529","","48","1","","","",""
"","1
,uj;jpdGhp","","wind/ Flood/ Cutting","","","","","","","","","","","","","","","",""
"","","Kiriella","","2024.06.01-02","2180","8137","","1","","","2","205","","85","","","","",""
"","Rathnapura","","faliture/Landslide Risk","","","","","","","","","","","","","","","",""
"","","Kolonna","","2024.06.01-02","8","24","","","","","","8","","1","","","","",""
"සබරගමුව පලොත","","","","","","","","","","","","","","","","","","",""
"rg;ufKt","","Balangoda","","2024.06.01-02","7","26","","","","","","5","","","","","","",""
"Sabaragamuwa","","Opanayake","","2024.06.01-02","2","7","","","","","","2","","","","","","",""
"","","Weligepola","","2024.06.01-02","2","10","","","","","","2","","","","","","",""
"","","Imbulpe","","2024.06.02","6","20","","","","","","3","","","","","","",""
"","","Kahawatta","","2024.06.02","9","28","","","","","","8","","1","","","","",""
"","","Ebilipiya","","2024.06.06","3","9","","","","","","3","","","","","","",""
"","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","15960","60635","","6","4","0","26","4675","","1224","58","","7","37","120"
"","කෑගල්ල","Deraniyagala","Tree Fallen","2024.06.08","1","5","","","","","","","","","","","","",""
"","2
Nffhiy","Kegalla","Tree Fallen","2024.06.09","1","5","","","","","","1","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","","",""
"","","Rambukkana","Tree Fallen","2024.06.09","","","","1","","","","","","","","","","",""
"","2024.06.09","","","","2","10","","1","0","0","0","1","","0","0","","0","0","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","15962","60645","","7","4","0","26","4676","","1224","58","","7","37","120"
"","කිලින ොච්චිය","","","","","","","","","","","","","","","","","","Drinking water is being"
"","3
fpspnehr;rp","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","","","","distributed for drought"
"","","","","","","","","","","","","","","","","","","","areas"
"","Killinochchi","","","","","","","","","","","","","","","","","",""
"උතුරු පලොත","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","432","946","","0","0","0","0","0","","0","0","","0","0","0"
"tl khfhzk;","","","","","","","","","","","","","","","","","","",""
"","","Tellippalai","","2024.06.08","1","2","","","","","","1","","","","","","",""
"","යොප ය","","","","","","","","","","","","","","","","","",""
"Northen","4","","High Wind","","","","","","","","","","","","","","","",""
"","aho;g;ghzk; Jaffna","","","","","","","","","","","","","","","","","",""
"","","Pointpedro","","2024.06.09","1","5","","","","","","1","","","","","","",""
"","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","2","7","","0","0","0","0","2","","0","0","","0","0","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","434","953","","0","0","0","0","2","","0","0","","0","0","0"
"","","Walallavita","Flood","2024.06.01/02","184","637","","","1","","10","54","","","","","","",""
"","","Mathugama","Flash Flood","2024.06.01/02","515","1789","","","","","","12","","","","","","",""
"","","Palindanuwara","Flood","2024.06.01/02","721","2593","","","","","1","16","","","","","","",""
"","","Bulathsinghla","Flood","2024.06.01/02","3517","12568","","1","","","","10","","","","","","",""
"","","Dodangoda","Flood","2024.06.01/02","736","2752","","","","","","736","","","","","","",""
"","කළුතර","","","","","","","","","","","","","","","","","",""
"","","Horana","Flash Flood","2024.06.01/02","33","124","","","","","","6","","","","","","",""
"","5
fSj;Jiw","","","","","","","","","","","","","","","","","",""
"","","Madurawela","Flood","2024.06.01/02","501","1900","","","","","","7","","","21","","","",""
"","Kalutara","","","","","","","","","","","","","","","","","",""
"","","Millaniya","Flood","2024.06.01/02","1236","4759","","2","","","3","1","","","","","","",""
"","","Ingiriya","Flood","2024.06.01/02","750","2814","","","1","","1","20","","","32","","","",""
"","","Agalawattha","Flood","2024.06.01/02","96","442","","","","","1","4","","","","","","",""
"","","Kalutara","Flood","2024.06.01/02","411","1502","","","","","2","8","","","1","","","",""
"","","Beruwala","High Wind","2024.06.06","2","7","","","","","","2","","","","","","",""
"Western","","","","","","","","","","","","","","","","","","",""
"Nky; khfhzk;","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","8702","31887","","3","2","0","18","876","","0","54","","0","0","0"
