"","","ප්‍රා.ලේ. ලකො       gpuNjr","","","","","","","","","gFjpa","","kw;Wk; kj;jpa","","","vz;zpf;","",""
"","khtl;lk ;","","","","FLk;gq;f","egHfs;","","Injured","Missin","","","","","","","","FLk;gq;","egHfs;"
"","","nra.gp    DS Division","","","","","","","","KOik","sT","","Kaw;rpfs;","","fl;likg;Gf;fs;","if","",""
"","District","","","","s;","People","","People","g","","","","","","","","fs;","Persons"
"","","","","","","","","","","","Partiall","","Small, Medium,","","Damages to","Safety","",""
"","","","","","","","","","","Fully","","","","","","","",""
"","","","","","Families","","","","People","","","","","","","","Families",""
"","","","","","","","","","","","y","","Enterprises","","critical","Location","",""
"","","","","","","","","","","","","","Damages","","Infastructure","","",""
"","","","","","","","","","","","","","","","","s","",""
"","","Nuwara Eliya","Landslide","2018.10.22","7","14","","","","","","7","","","","","",""
"","","Ambagamuwa","Cutting Failure","2018.10.21","1","4","","","","","","","","","","","",""
"","නුවරඑලිය","","","","","","","","","","","","","","","","",""
"","1
Etnuypah","","","2018.10.21","6","23","","","","","","4","","","","1","1","5 Delpathkada community"
"","","Hanguranketha","Cutting Failure","","","","","","","","","","","","","","","Hall"
"","Nuwara Eliya","","","2018.10.24","1","6","","","","","","","","","","","",""
"","","Walapane","Cutting Failure","2018.10.24-29","13","48","","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","28","95","0","0","0","0","","15","","0","0","1","1","5"
"","","","Cutting failure/","","","","","","","","","","","","","","",""
"","","Pasbage Korale","Flash Flood/","2018.10.16-20","4","19","","","","","","2","","3","","","",""
"","","","Landslide Risk","","","","","","","","","","","","","","",""
"","","Delthota","Cutting failure/","2018.10.20-28","16","69","","","","1","","5","","1","","","",""
"","","","Flash Flood/","","","","","","","","","","","","","","",""
"","","Kundasale","Landslide Risk","2018.10.16-22","7","31","","","","","","6","","2","","","",""
"","","Gangawatakorale","Cutting Failure","2018.10.21-24","17","68","","","","","","16","","","","","",""
"මධ්‍යම","","Poojapitiya","Rock Fallen","2018.10.20-22","2","9","","","","","","2","","","","","",""
"පලා /kj;jpa","","","","","","","","","","","","","","","","","",""
"","","Panvila","Landslide Risk","2018.10.21","36","125","","","","1","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","","",""
"","","Medadumbara","Heavy Rain","2018.10.17-25","29","118","","","","","","28","","1","","","",""
"Central","මහනුවර","","","","","","","","","","","","","","","","",""
"","fz;b      
2","Pathahewanheta","Cutting Failure","2018.10.20","1","7","","","","","","1","","","","","",""
"","Kandy","","Cutting failure/","","","","","","","","","","","","","","",""
"","","Harispaththuwa","Tree Fallen /","2018.10.20/21","3","13","","","","","","3","","","","","",""
"","","","Landslide Risk","","","","","","","","","","","","","","",""
"","","Doluwa","Heavy Rain","2018.10.20","1","5","","","","","","1","","","","","",""
"","","Pathadumbara","Cutting Failure","2018.10.20/21","6","26","","","","","","6","","","","","",""
"","","Minipe","Cutting Failure","2018.10.16-23","6","28","","","","1","","4","","1","","","",""
"","","Udapalatha","Cutting Failure","2018.10.19","7","26","","","","","","6","","1","","","",""
"","","Akurana","Cutting Failure","2018.10.23","5","20","","","","","","5","","","","","",""
"","","Ududumbara","Lightning","2018.10.24","1","2","","","","","","1","","1","","","",""
"","","Hatharaliyadda","Tree Fallen","2018.10.24","3","10","","","","","","2","","1","","","",""
"","","Udunuwara","Tree Fallen","2018.10.26","1","5","","3","","","","1","","","","","",""
"","","Ganga Ihala Korale","Cutting Failure","2018.10.29","6","23","","","","","","5","","1","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","151","604","0","3","0","3","","94","","12","0","0","0","0"
