"","","Rathnapura","Kalawana","Rain/Flood","","12","40","","","","","6","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","Pelmadulla","","","15","61","","","","1","14","","","","","","","",""
"","","","Opanayake","","","39","135","","","","","25","","","","","","","",""
"","","","Kiriella","","","27","102","","","","1","6","","","","","","","",""
"","","","Weligepola","","","2","10","","","","","1","","","","","","","",""
"","","","Balangoda","","","3","12","","","","","3","","","","","","","",""
"","","","Embilipitiya","","","1","3","","","","","1","","","","","","","",""
"","","","Imbulpe","","","2","6","","","","","2","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","431","1611","0","1","0","3","207","","0","","0","0","0","0",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","431","1611","0","1","0","3","207","","0","","0","0","0","0",""
"","","","","","","","","","","","","","","","","","","","","Ganesha Tamil"
"","","බදුල්ල","","","","","","","","","","","","","","","","","",""
"","2","","Haldumulla","Land Slide Risk","2023.10.14","218","846","","","","","","","","","","2","85","320","School,koslandawatta"
"ඌව","","gJs;is   Badulla","","","","","","","","","","","","","","","","","","Tea Factory"
"Cth khfhzk;","","","","","","","","","","","","","","","","","","","",""
"Uva","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","218","846","0","0","0","0","0","","0","","0","2","85","320",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","218","846","0","0","0","0","0","","0","","0","2","85","320",""
"","","","Gampaha","Flood","2023.10.10","2","7","","","","","2","","","","","","","",""
"","","ගම්පහ       fk;g`h","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","40 Wijaya Kumarathunga"
"Western","3","Gampaha","Wattala","Flood","2023.09.30 ****","86","344","","","","","2","","","","","1","11","","Community hall"
"Nky; khfhzk","","","","","","","","","","","","","","","","","","","",""
"","","","Minuwangoda","Rain & Wind","2023.09.30 ****","2","7","","","","","2","","","","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","90","358","0","0","0","0","6","","0","","0","1","11","40",""
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","90","358","0","0","0","0","6","","0","","0","1","11","40",""
"","","","Akuressa","","","31","130","","","","11","29","","","","","","","",""
"","","","Thihagoda","","","95","427","","","","","37","","","","","","","",""
"","","","Malimbada","","","126","609","","","","","13","","","","","","","",""
"","","","Devinuwara","","","54","243","","","","","48","","","","","","","",""
"","","","Weligama","","","38","153","","","","","22","","","","","","","",""
"","","","Kamburupitiya","","","39","175","","","","","39","","","","","","","",""
"","","","Athuraliya","","","12","42","","","","","15","","","","","","","",""
"","","මාතර","","","2023.09.28 to","","","","","","","","","","","","","","",""
"","","","Kirinda","","","41","156","","","","","41","","","","","","","",""
"","4","khj;jiw","","Flood","","","","","","","","","","","","","","","",""
"","","","Pasgoda","","2023.10.09 ****","10","35","","","","","10","","","","","","","",""
"","","Matara","","","","","","","","","","","","","","","","","",""
"","","","Hakmana","","","72","275","","","","","72","","","","","","","",""
"","","","Matara","","","545","1965","","","","7","119","","","","","4","118","420",""
"","","","Pitabeddara","","","38","143","","","","","24","","","","","","","",""
"","","","Mulatiyana","","","19","77","","","","","11","","","","","1","5","","20 Erellawala Community"
"","","","","","","","","","","","","","","","","","","","","Hall"
"","","","Kotapola","","","9","45","","","","","7","","","","","","","",""
"","","","Dickwella","","","110","415","","","","","110","","","","","","","",""
"","","","Welipitiya","","","34","120","","","","2","25","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1273","5010","0","0","0","20","622","","0","","0","5","123","440",""
