"කෑගල්ල","","Cutting Failure/","","","","","","","","","","","","","","","","",""
"1","Mawanella","","","","","","","","","","3","10","","","","","","2",""
"Nffhiy   Kegalle","","High wind","","","","","","","","","","","","","","","","",""
"","Dehiowita","","","","","","","","","","3","12","","","","","","","3"
"","Mawanella","","","","","","","","","","27","64","","","","","","11","2"
"","Warakapola","","","","","","","","1","2","3","12","","","","","","2","1"
"","Bulathkohupitiya","2020.05.21","","","","","","","","","4","16","","","","","","1","1"
"","Rambukkana","","","","","","","","","","3","10","","","","","","3",""
"","Aranayaka","","","","","","","","","","1","5","","","","","","","1"
"","Kegalle","","","","","","","","","","2","9","","","","","","1","1"
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","","0","0","","2","4","84","293","0","1","","0","1","47","16"
"","Palmadulla","","","2","","6","26","","","","1320","4895","1","","","","14","1068",""
"සබරගමුව පලොත","Opanayaka","","","","","","","","","","331","1174","","","","","2","6",""
"rg;ufKt","","","","","","","","","","","","","","","","","","",""
"","Eheliyagoda","","","","","","","","","","5","18","","","","","","5",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","","",""
"","Ayagama","","","1","","3","7","","","","291","762","","","","","1","49",""
"","Embilipitiya","","","","","","","","","","10","37","","","","","","10",""
"","Rathnapura","","","1","","3","11","","","","1959","7990","2","","","","","272",""
"","Kahawattha","","","","","","","","3","12","48","203","","","","","","8",""
"","Kiriella","","","","","","","","","","147","647","","","","","","2",""
"රත් පුර ,uj;jpdGhp","","Flood and","","","","","","","","","","","","","","","","",""
"2","Kalawana","2020.05.19","","","","","","","","","29","100","","","","","","25",""
"Rathnapura","","Landslide","","","","","","","","","","","","","","","","",""
"","Elapatha","","","","","","","","2","5","263","939","","","","","1","45",""
"","Nivithigala","","","","","","","","","","85","277","","","","","","14",""
"","Ibulpe","","","","","","","","","","36","138","","","","","","35",""
"","Balangoda","","","2","","17","73","","","","286","1050","","","","","1","170",""
"","Kolonna","","","","","","","","1","4","23","81","","","","","1","22",""
"","Weligapola","","","","","","","","48","171","57","210","","","","","1","8",""
"","Kuruvita","","","","","","","","10","36","92","360","","","","","","23",""
"","Godakawala","","","","","","","","","","23","78","","","","","","23",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","6","","29","117","","64","228","5005","18959","3","0","","0","21","1785","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","6","","29","117","","66","232","5089","19252","3","1","","0","22","1832","16"
"","Minuwangoda","","","","","","","","","","1","4","","","","","","1",""
"","","2020.05.19","","","","","","","","","","","","","","","","",""
"","Gampaha","","","","","","","","","","1","3","","","","","","1",""
"ගම්පහ","Mahara","2020.05.20","","","","","","","","","","","","","","","","1",""
"3","","High wind","","","","","","","","","","","","","","","","",""
"Western           
fk;g`h Gampaha","","","","","","","","","","","","","","","","","","",""
"","Minuwangoda","","","","","","","","","","1","1","","","","","","1",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","","","",""
"","Aththanagalla","2020.05.21","","","","","","","","","3","19","","","","","","3",""
"බස් ොහිර පලොත","","","","","","","","","","","","","","","","","","",""
"","Dompe","","","","","","","","","","1","2","","","","","","1",""
"","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","","0","0","","0","0","7","29","0","0","","0","0","8","0"
