"","FLk;gq;fs;","","","","","KOik","T","ளின்","","","","","",""
"","","People","","","","","","","Damages to","","f   No.","s;","","Persons"
"District
Division","Families","","","","","Fully","Partially","சேதங் கள்","","","","","",""
"","","","","","","","","","critical","","of Safety","Families","",""
"","","","","","","","","Small, Medium,","","","","","",""
"","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","Damages","","","","","",""
"කිලිවනාච්චිය","","","","","","","","","","","","","",""
"Karachchi
High Wind
1
fpspnehr;rp","2021.10.10
11","39","","1","","","11","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","",""
"Killinochchi","","","","","","","","","","","","","",""
"tlkhfhzk","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total
Northen","11","39","0","1","0","0","11","0","","0","0","","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","11","39","0","1","0","0","11","0","","0","0","","0","0"
"පුත්තලම","","","","","","","","","","","","","",""
"2
Anamaduwa
High Wind
Gj;jsk;","2021.10.11
19","62","","","","","16","3","","","","","",""
"Puttalam","","","","","","","","","","","","","",""
"ෙයඹ පලාත 
දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","19","62","0","0","0","0","16","3","","0","0","","0","0"
"tlNky;","","","","","","","","","","","","","",""
"කුරුණෑගල 
Mahawa
High Wind","2021.10.10
18","86","","","","","18","6","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"3
FUdhfy;","","","","","","","","","","","","","",""
"North","","","","","","","","","","","","","",""
"Alawwa
Heavy Rain
Kurunegala","2021.10.02/10
2","4","","","","","2","","","","","","",""
"Western","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","20","90","0","0","0","0","20","6","","0","0","","0","0"
"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","39","152","0","0","0","0","36","9","","0","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","50","191","0","1","0","0","47","9","","0","0","","0","0"
"","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","","",""
