"","","","Weligama","","","38","153","","","","","22","","","","","","","",""
"","","","Kamburupitiya","","","35","140","","","","","35","","","","","","","",""
"","","","Athuraliya","","","12","42","","","","","15","","","","","","","",""
"","","මාතර","","","2023.09.28 to","","","","","","","","","","","","","","",""
"","","","Kirinda","","","41","156","","","","","41","","","","","","","",""
"","4","khj;jiw","","Flood","","","","","","","","","","","","","","","",""
"","","","Pasgoda","","2023.10.09 ****","10","35","","","","","10","","","","","","","",""
"","","Matara","","","","","","","","","","","","","","","","","",""
"","","","Hakmana","","","72","275","","","","","72","","","","","","","",""
"","","","Matara","","","545","1965","","","","7","119","","","","","4","142","480",""
"","","","Pitabeddara","","","38","143","","","","","24","","","","","","","",""
"","","","Mulatiyana","","","19","77","","","","","11","","","","","1","5","","20 Erellawala Community"
"","","","","","","","","","","","","","","","","","","","","Hall"
"","","","Kotapola","","","9","45","","","","","7","","","","","","","",""
"","","","Dickwella","","","110","415","","","","","110","","","","","","","",""
"","","","Welipitiya","","","34","120","","","","2","25","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1317","5126","0","0","0","20","618","","0","","0","5","147","500",""
"","","","Neluwa","Heavy Rain / Flood","2023.09.29","4","13","","","","","4","","","","","","","",""
"","","","Thawala","Heavy Rain / Flood","2023.10.03-08","8","36","","","","","8","","","","","","","",""
"","","","Elpitiya","Heavy Rain / Flood","2023.10.02-08","16","42","","","","1","15","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","","","","","",""
