"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"04.12.23/1130","13.7/80.9","85-95 kmph gusting to 105 kmph","Severe Cyclonic Storm"
"04.12.23/1730","14.2/80.6","90-100 kmph gusting to 110 kmph","Severe Cyclonic Storm"
"","14.7/80.5","95-105 kmph gusting to 115 kmph",""
"04.12.23/2330","","","Severe Cyclonic Storm"
"","15.4/80.4","90-100 kmph gusting to 110 kmph",""
"05.12.23/0530","","","Severe Cyclonic Storm"
"05.12.23/1730","16.3/80.6","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"06.12.23/0530","17.1/81.1","50-60 kmph gusting to 70 kmph","Deep Depression"
"06.12.23/1730","17.8/81.8","35-45 kmph gusting to 55 kmph","Depression"
