"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","212","759","0","2","0","0","210","0","0","3","36","146"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","248","889","0","2","0","0","220","0","0","4","62","234"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","41610","161290","17","13","1","17","3381","197","3","123","1888","8212"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Cdr R.G.T.S.Karunarathne","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
