"","Weather Forecast for Main Cities","","","Date :","24-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","85","60","Mainly fair"
"Batticaloa","34","27","75","50","Mainly fair"
"Colombo","28","26","95","75","Showers at times"
"Galle","28","26","95","85","Showers at times"
"Jaffna","33","27","85","65","Mainly fair"
"Kandy","26","22","95","75","Showers at times"
"Nuwara-Eliya","16","14","95","90","Showers at times"
"Ratnapura","30","24","95","75","Showers at times"
"Trincomalee","34","26","75","50","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
