"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","31","141","","0","0","0","31","0","","0","0","","2","31","141"
"Central","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","31","141","","0","0","0","31","0","","0","0","","2","31","141"
"බදුල්ල          
ඌෙ","","","","","","","","","","","","","","","",""
"2
Haldumulla
Tree Fallen
gJs;is   
Cth","2021.02.07","2","10","","","1","","","2","","","","","1","1","5 Sri Muttumari Amman"
"","","","","","","","","","","","","","","","","Kovil"
"Badulla
khfhzk;","","","","","","","","","","","","","","","",""
"Uva
දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","2","10","","0","1","0","0","2","","0","0","","1","1","5"
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","2","10","","0","1","0","0","2","","0","0","","1","1","5"
"Verugal","2021.03.26","2","5","","","","","","2","","","","","","",""
"ත්‍රීකුණොමලය","","","","","","","","","","","","","","","",""
"Heavy Rain / High","","","","","","","","","","","","","","","",""
"3
jp.kiy  
Town & Grevets","2021.04.02","3","13","","","","","","3","","","","","","",""
"නැකෙනහිර 
Wind","","","","","","","","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","",""
"Kinniya
පලොත     fpof;F","2021.04.02","7","30","","","","","","7","","","","","","",""
"Eastern","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","12","48","","0","0","0","0","12","","0","0","","0","0","0"
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","12","48","","0","0","0","0","12","","0","0","","0","0","0"
"ක ොළඹ","","","","","","","","","","","","","","","",""
"4
Colombo
Fire
nfhOk;G","2021.03.15","27","142","","","","","","27","","","","","1","27","142 *Kalani Nadee Tempale"
"බස්නොහිර පලොත","","","","","","","","","","","","","","","","*Modara Community Hall"
"Colombo","","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","",""
"Nky; khfhzk දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","27","142","","0","0","0","0","27","","0","0","","1","27","142"
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","27","142","","0","0","0","0","27","","0","0","","1","27","142"
"රත්නපුර","","","","","","","","","","","","","","","","Official residence of the"
"Heavy Rain / High","","","","","","","","","","","","","","","",""
"5
Balangoda
,uj;jpdGhp 
සබරෙමුෙ පලොත","2021.03.22","40","150","","","","","1","35","","1","","","1","3","Municipal Secretary 
19"
"","Wind & Landslide Risk","","","","","","","","","","","","","","","Balangoda"
"Rathnapura
rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","40","150","","0","0","0","1","35","","1","0","","1","3","19"
"a","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","40","150","","0","0","0","1","35","","1","0","","1","3","19"
"මොතර","","","","","","","","","","","","","","","",""
"6
Maalimboda
Lightning
khj;jiw","2021.04.06","","","","1","","","","","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","",""
"Matara
njd;","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","0","0","","1","0","0","0","0","","0","0","","0","0","0"
"Southern","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","0","0","","1","0","0","0","0","","0","0","","0","0","0"
"අනුරොධපුර","","","","","","","","","","","","","","","",""
"7
Rajanganaya
High Wind
උතුරුමැද පලොත 
m.Guk","2021.03.29","141","538","","","","","5","128","","13","","","3","3","6"
"tlkj;jpa 
Anuradhapura","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","141","538","","0","0","0","5","128","","13","0","","3","3","6"
"North Central","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","141","538","","0","0","0","5","128","","13","0","","3","3","6"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","253","1029","","1","1","0","37","204","","14","0","","8","65","313"
"","","","","රොජ ොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","","","",""
