"","","මහනුවර","","2021.01.06","6","26","","","","5","","","",""
"","3","fz;b       
Gagaihala Korale","Mini Landslide","2021.01.05","2","7","","","","2","","","",""
"","","Kandy","","","","","","","","","","","",""
"","","Thumpane","Heavy Rain","2021.01.06","2","8","","","","2","","","",""
"","","","Cutting Failure","","2","6","","","","","","","",""
"","","Pathahewaheta","","2021.01.06","","","","","","","","","",""
"","","","High Wind","","1","1","","","","1","","","",""
"මධ්‍යම","","Pathadumbara","Cutting Failure","2021.01.06","11","37","","","","9","","","",""
"පලාත/kj;jpa","","Ududumbara","Land slide Risk","2021.01.06","2","9","","","","","","","",""
"khfhzk;/ Central","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","31","114","0","0","0","0
23","1","0","0
0","0"
"","","නුවරඑලිය  
Nuwara Eliya","Land slide Risk","2020.12.21","3","14","","","","","","","1
3","14"
"","4","Etnuypah","","","","","","","","","","","",""
"","","Ambagamuwa
Nuwara Eliya","Rock fallen","2021.01.04","1","5","","1","","1","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","19","0","1","0","0
1","0","0","1
3","14"
"","","මාතලේ","","","","","","","","","","","",""
"","5","Dambulle
khj;jis","Heavy Rain","2020.12.30","1","3","","","","1","","","",""
"","","Matale","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","0","0
1","0","0","0
0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","36","136","0","1","0","0
25","1","0","1
3","14"
"","","පුත්තලම   
Arachikattuwa","","2020.12.31","13","35","","","","1","","","",""
"","6","Gj;jsk;","High Wind","","","","","","","","","","",""
"වයඹ පලාත","","Puttalam
Wennappuwa","","2021.01.06","1","5","","","","1","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","",""
"North Western","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","40","0","0","0","0
2","0","0","0
0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","14","40","0","0","0","0
2","0","0","0
0","0"
"","","Seruwila","","","4","12","","","","4","","","",""
"","","ත්‍රීකුණාමලය","","","3","6","","","","3","","","",""
"","","Thambalagamam","","","","","","","","","","","",""
"","7","jp.kiy","High Wind","2021.01.04/05","","","","","","","","","",""
"","","Trincomalee
Morawewa","","","2","3","","","","2","","","",""
"","","Kanthale","","","2","7","","","","2","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","11","28","0","0","0","0
11","0","0","0
0","0"
