"Southern
දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","0","6","0","0","0","0","0","0","1","0","0",""
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","0","6","0","0","0","0","0","0","1","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","126","407","0","0","0","0","15","1","1","0","0",""
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….....................................","","","","","","","","","Deputy Director"
"","","","Mahendra Jagath","","","","","","","","",""
"","","","Deputy Director/Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
