"රත්නපුර","","","","","","","","","","","","","",""
"Kolonna
/ High Wind / Heavy","2
2022.05.13/14/15/","8","","1","","","2","","1","","","","",""
"1
,uj;jpdGhp  
ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"Rain/ Lightning /","16","","","","","","","","","","","","",""
"Ayagama
Rathnapura","38","163","","","","","4","","","","","","",""
"rg;ufKt 
Cutting Failiture","","","","","","","","","","","","","",""
"Kalawana
Sabaragamuwa","29","96","","","","1","28","","3","","","","",""
"Ibulpe","4","17","","","","","4","","","","","","",""
"Opanayaka","8","22","","","","","8","","","","","","",""
"Godakawela","5","20","","","","","5","","","","","","",""
"Balangoda","3","12","","","","","3","","","","","","",""
"Kahawaththa","9","29","","","","","9","","","","","","",""
"Weligapola","1","2","","","","","2","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","1996","7962","0","1","0","1","221","","18","","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","1996","7962","0","1","0","1","221","","18","","0","0","0","0"
"Beruwala","4","16","","","","","4","","","","","","",""
"Bulathsinhala","30","101","","1","","","6","","","","","","",""
"Palindanuwara","20","78","","","","","4","","","","","","",""
"Dodangoda","16","57","","","","","11","","","","","","",""
"Mathugama","5","19","","","","","5","","","","","","",""
"Ingiriya","38","145","","","","","7","","","","","","",""
"කළුතර","","","","","","","","","","","","","",""
"Kalutara
High Wind /Heavy","17
2022.05.13/14/15/","66","","","","","8","","","","","","",""
"2
fSj;Jiw","","","","","","","","","","","","","",""
"Rain/ Lightning
Bandaragama","16/17/18
2","10","","","","","2","","","","","","",""
"Kalutara","","","","","","","","","","","","","",""
"Agalawatta","10","39","","","","","10","","","","","","",""
"Walallavita","9","40","","","","","9","","","","","","",""
"Western Nky;","","","","","","","","","","","","","",""
"Horana","2","4","","","","","2","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"Madurawala
බස්ත්‍රනාහිර පලාත","30","94","","","","","4","","","","","","",""
"Millaniya","26","80","","","","","9","","","","","","",""
"Panadura","7","25","","","","","7","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","216","774","0","1","0","0","88","","0","","0","0","0","0"
"Gampaha
Heavy Rain","2","9","","","","","2","","","","","","",""
"Mahara
Heavy Rain & Wind","1","4","","","","","1","","1","","","","",""
"ගම්පහ        fk;g`h","2022.05.13/14/15/","","","","","","","","","","","","",""
"3
Dompe
Tree Fallan","6","29","","","","","6","","1","","","","",""
"Gampaha","16/17","","","","","","","","","","","","",""
"Minuwangoda
High Wind","1","4","","","","","1","","","","","","",""
"Atthangalla
Heavy Rain & Wind","4","21","","","","","4","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","14","67","0","0","0","0","14","","3","","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","230","841","0","1","0","0","102","","3","","0","0","0","0"
"මුලතිව්","","","","","","","","","","","","","",""
"4
Puthukuduiruppu
High Wind
Ky;iyj;jPT","2022.05.16
1","3","","","","","1","","","","","","",""
"Mulaitivu","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","1","3","0","0","0","0","1","","0","","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","1","3","0","0","0","0","1","","0","","0","0","0","0"
"උතුරු පලාත","","","","","","","","","","","","","",""
"Velanai
tl khfhzk;","2022.05.16
1","1","","","","","1","","","","","","",""
"Kopay
යාපනය    
Northen","1","3","","","","","1","","","","","","",""
"5
High Wind","","","","","","","","","","","","","",""
"aho;g;ghzk; Jaffna
Nallur","2022.05.18
1","2","1","","","","","","","","","","",""
