"","Weather Forecast for Main Cities","","","Date :","2024-09-07"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","55","Mainly fair"
"Batticaloa","35","26","90","50","Mainly fair"
"Colombo","31","26","85","70","Several spells of light showers"
"Galle","30","26","85","75","Several spells of light showers"
"Jaffna","33","28","90","70","Mainly fair"
"Kandy","28","22","95","70","Several spells of light showers"
"Nuwara-Eliya","18","15","95","85","Several spells of light showers"
"Ratnapura","31","23","95","70","Several spells of showers"
"Trincomalee","36","26","85","45","Mainly fair"
"Mannar","30","28","90","70","Mainly fair"
