"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","21","70","0","0","0","0","4","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","24","78","0","0","0","0","6","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","275","1052","0","1","0","2","71","3","0","0","0"
"","","","ආපදො කළ නොකරණ  ධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","R.D.Dalugoda","","","","","","","",""
"","","","Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
