"","","Kahawaththa","Cutting Failure","2022.08.30","2","8","","","","","2","","","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","","","",""
"","","Elapaatha","Heavy Rain & Hi.Wind","2022.08.31","56","195","","","","","1","","","","","","",""
"","1
,uj;jpdGhp","","","","","","","","","","","","","","","","",""
"","","Palmadulla","Heavy Rain & Hi.Wind","2022.08.31","4","13","","","","","4","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","","",""
"","","Kuruvita","Flood","2022.09.01","83","351","","","","","2","","","","","","",""
"","","Ayagama","Flood","2022.09.01","2","8","","","","","","","2","","","","",""
"","","Kiriella","Flood","2022.09.01","7","24","","","","","1","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","181","702","0","0","0","0","15","","3","0","0","0","0",""
"ස්ත්‍බරගමුව පලොත","","","High Wind","2022.08.30","1","5","","","","","1","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","",""
"","","Yatiyantota","Cutting Failure","2022.08.31","1","3","","","","","1","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","","",""
"","","","Cutting Failure","2022.08.31","2","9","","","","","2","","","","","","",""
"","කෑගල්ල","Galigamuwa","Tree fallan","2022.08.30","2","9","","","","","2","","","","","","",""
"","Nffhiy   
2","","","","","","","","","","","","","","","","",""
"","Kegalle","Warakapola","High Wind","2022.08.31","1","4","","","","","1","","","","","","",""
"","","Bulathsinhala","Cutting Failure","2022.08.31","7","27","","","","","7","","","","","","",""
"","","Ruwanwella","Cutting Failure","2022.08.31","2","6","","","","","","","","","","","",""
"","","Dehiovita","High Wind","2022.08.31","4","2","","","","","1","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","20","65","0","0","0","0","15","","0","0","0","0","0",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","201","767","0","0","0","0","30","","3","0","0","0","0",""
"","ම ොනරොගල","","","","","","","","","","","","","","","","",""
"","3
nkhdwhfiy","Wellawaya","High Wind","2022.08.31","14","70","","","","2","12","","","","","","",""
"","Moneragala","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","70","0","0","0","2","12","","0","0","0","0","0",""
"ඌව","","","","","","","","","","","","","","","","","",""
"","","Passara","Cutting Failure","","1","5","","","","","1","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","","",""
"","බදුල්ල/gJs;is/","","","","","","","","","","","","","","","","",""
"","4","Kandaketiya","","2022.08.30","1","5","","","","","1","","","","","","",""
"Uva","Badulla","","","","","","","","","","","","","","","","",""
"","","","Heavy Rain & Hi.Wind","","","","","","","","","","","","","","",""
"","","Ella","","","7","26","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","36","0","0","0","0","4","","0","0","0","0","0",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","23","106","0","0","0","2","16","","0","0","0","0","0",""
"උතුරු ැද පලොත","අනුරොධපුර    m.Guk;","","","","","","","","","","","","","","","","",""
"","5","Galenbidunuwewa","High Wind","2022.08.30","1","4","","","","","1","","","","","","",""
"tlkj;jpa","Anuradhapura","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","4","0","0","0","0","1","","0","0","0","0","0",""
"North Central","","","","","","","","","","","","","","","","","",""
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","4","0","0","0","0","1","","0","0","0","0","0",""
"","ත්‍රීකුණො ලය","","","","","","","","","","","","","","","","",""
"","6
jp.kiy","Seruwila","High Wind","202.08.31","1","4","","","","","1","","","","","","",""
"නැමගනහිර පලොත","","","","","","","","","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","",""
