"Uva
දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","5","18","0","0","0","0","5","0","0","0","0"
"පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","5","18","0","0","0","0","5","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","21","78","0","0","0","0","14","0","0","1","7"
"","","","","ආපදො කළ නොකරණ  ධ්‍යස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","",""
"","","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","",""
"","","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","",""
"","","","","මෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","",""
"","","","","…....….....................................","","","","","","",""
"","","","HDG Priyantha","","","","","","","",""
"","","","","Deputy Director/ Duty Officer","","","","","","",""
"","","","","For Director General","","","","","","",""
"","","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","",""
