"","","High Wind","2023.07.07","5","21","","","","","","5","","","","",""
"","Rathnapura","High Wind/Cutting Failure","2023.07.04","9","36","","","","","","9","","","","",""
"","","High Wind","2023.07.04/05","14","57","","","","","","14","","","","",""
"","Kahawatta","","","","","","","","","","","","","","",""
"","","Kahawatta","2023.07.06","2","9","","","","","","2","","","","",""
"","","High Wind","2023.07.04","4","16","","","","","","4","","","","",""
"","Kolonna","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.05","2","9","","","","","","2","","","","",""
"","Weligepola","High Wind","2023.07.04/05","4","13","","","","","","4","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","",""
"","Ehaliyagoda","High Wind","2023.07.04/05","9","34","","","","","","9","","","","",""
"1",",uj;jpdGhp","","","","","","","","","","","","","","",""
"","Kaltota","High Wind","2023.07.05","1","4","","","","","","1","","","","",""
"","Rathnapura","","","","","","","","","","","","","","",""
"","Pelmadulla","High Wind","2023.07.04","18","73","","","","","","18","","","","",""
"","Ayagama","High Wind","2023.07.05","4","18","","","","","","4","","","","",""
"","","High Wind","2023.07.04","1","3","","","","","","1","","","","",""
"","Kiriella","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.06","1","5","","","","","","1","","","","",""
"","","High Wind","2023.07.04/05","8","30","","","","","","8","","","","",""
"","Opanayake","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.06","1","3","","","","","","1","","","","",""
"සබරගමුව පලාත","Imbulpe","High Wind","2023.07.04/05","6","25","","","","","","6","","","","",""
"rg;ufKt","Elapatha","High Wind","2023.07.05","35","126","","","","","","15","","","","",""
"Sabaragamuwa","Kuruwita","High Wind","2023.07.05","2","7","","","","","","2","","","","",""
"","Godakawela","High Wind","2023.07.04/05","12","46","","","","","","12","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","202","758","","0","0","0","0","172","0","0","0","0","0"
"","","High Wind","2023.07.03/04/05","28","112","","","","","","25","1","","","",""
"","Aranayake","Tree Fallen","2023.07.05","3","7","","","","","","3","","","","",""
"","","Tree Fallen","2023.07.06","1","3","","","","","","1","","","","",""
"","Yatiyantota","High Wind","2023.07.03/04/05","19","75","","","","","","19","6","","","",""
"","Deraniyagala","Cutting Failure","2023.07.02/05","5","15","","","","","","5","1","","","",""
"","Warakapola","High Wind","2023.07.05/04","12","46","","","","","","12","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","",""
"2","Mawanella","High Wind","2023.07.02/04","13","55","","","","","","13","","","","",""
"","Nffhiy  Kegalle","","","","","","","","","","","","","","",""
"","Kegalla","High Wind","2023.07.04","13","49","","","","","","13","","","","",""
"","Dehiowita","High Wind","2023.07.04","10","39","","","","","","10","2","","","",""
"","Bulathkohupitiya","High Wind","2023.07.04","22","86","","","","","","21","1","","","",""
"","Rambukkana","High Wind","2023.07.04","2","5","","","","","","2","","","","",""
"","Galigamuwa","High Wind","2023.07.05/06","10","29","","","","","","10","","","","",""
"","Ruwanwella","High Wind","2023.07.04/05","4","15","","","","","","4","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","142","536","","0","0","0","0","138","11","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","344","1294","","0","0","0","0","310","11","0","0","0","0"
"","Gomarankadawala","High Wind","2023.07.04","1","3","","","","","","1","","","","",""
"","Verugal","High Wind","2023.07.04/05/06","24","79","","","","","","24","","","","",""
"","","High Wind","2023.07.04/05/06","39","135","","","","","","36","","","","",""
"","Seruwila","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.05-07","1","5","","","","","","1","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.04","11","36","","","5","","","11","","","","",""
"3","Kantale
jp.kiy","","","","","","","","","","","","","","",""
"","","High Wind","2023.07.05-07","2","9","","","","","","2","","","","",""
"","Trincomalee","","","","","","","","","","","","","","",""
"","Town & Gravets","High Wind","2023.07.04/05/06","2","11","","","","","","2","","","","",""
"නැගගනහිර පලාත","Kuchchaweli","High Wind","2023.07.04/05/06","1","5","","","","","","1","","","","",""
"fpof;F","","High Wind","2023.07.04","11","40","","","","","","10","1","","","",""
"","Muthur","","","","","","","","","","","","","","",""
"Eastern","","High Wind","2023.07.05-07","5","15","","","","","","5","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","97","338","","0","5","0","0","93","1","0","0","0","0"
