"khfhzk;/ North","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","0","2","0","2","0","0","0","0","0","0","0"
"Central","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","0","2","0","2","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3532","10355","0","2","0","0","17","0","1","0","0"
"","","","","ආපදො කළම ොකරණ මධයස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","","නෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","","…..............................................","","","","","","","",""
"","","","","SI S.A.N. Bandara","","","","","","","",""
"","","","","Duty Officer","","","","","","","",""
"","","","","For Director General","","","","","","","",""
"","","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","",""
