"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"03.12.23/0530","11.7/82.3","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"03.12.23/1130","12.2/81.9","65-75 kmph gusting to 85 kmph","Cyclonic Storm"
"03.12.23/1730","12.7/81.4","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"04.12.23/0530","13.5/81.0","75-85 kmph gusting to 95 kmph","Cyclonic Storm"
"04.12.23/1730","14.5/80.6","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/0530","15.5/80.8","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/1730","16.5/81.2","60-70 kmph gusting to 80 kmph","Cyclonic Storm"
"06.12.23/0530","17.6/82.3","45-55 kmph gusting to 65 kmph","Depression"
"06.12.23/1730","18.5/83.5","25-35 kmph gusting to 45 kmph","Low-Pressure Area"
