"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","8","41","0","0","0","0","8","0","0","0","0"
"Central","","","","","","","","","","",""
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","8","41","0","0","0","0","8","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","25","97","0","0","1","0","24","1","1","0","0"
"","","","ආපදො කළමනොකරණ මධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","K.A.D.P.K.Kodippili","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
